"","X","X1","Agent_Bias_Rate","Agent_Count","Annealing_Rate_Group","Annealing_Rate_Individual","Distance_Matrix_Scaling_Homophily","Facts_per_Interaction","Generation_Mechanism_Group","Generation_Mechanism_Knowledge","Group_Count","Group_File_Name","Group_Flip_To_Negative_Rate","Group_Flip_To_Positive_Rate","Groups_Per_Agent","Homophily","Homophily_Clusters","Homophily_File_Name","Homophily_Generation_Mechanism","Interactions_per_Turn","Knowledge_Count","Knowledge_File_Name","Mean_Knowledge","Memory_Rate_Group","Memory_Rate_Individual","Number_Turns","Repetition","agent_core_mean","KB_mean","GO_mean","group_mean","max_SCC","n_edges_max_SCC","avg_pl_SCC","unweighted_CC_SCC","n_edges_total","unweighted_CC_Total","reciprocity_SCC","reciprocity_Total","max_WCC","mean_edge_weight","sd_edge_weight","mean_weighted_CC_SCC","mean_weighted_CC_Total","ingroup_Total","outgroup_Total","prop_mean","count_mean"
"35",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,4,18.3770806451613,196,196,5,999,6684,2.92512151429987,0.0132832279379208,6689,0.013274938731052,0.00598444045481747,0.00597996711018089,1000,2.03916878457169,0.201570455896997,0.0133761382506625,0.0133587217083714,1788,4901,0.253021742318015,0.253021742318015
"36",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,5,18.3727419354839,198,198,5,998,6590,2.93836218073057,0.0138277959756668,6601,0.0138008336544187,0.00455235204855842,0.00454476594455386,1000,2.04226632328435,0.208605650800763,0.0139157953335661,0.0138727072857884,1772,4829,0.251152616077409,0.251152616077409
"37",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,6,18.3682419354839,185,185,5,998,6624,2.93185769734052,0.012308476854964,6634,0.0123212550326253,0.00513285024154589,0.00512511305396443,1000,2.0391920410009,0.200184623567106,0.0124182219386238,0.0125094543802814,1770,4864,0.252317604625392,0.252317604625392
"38",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,7,18.3465241935484,206,206,5,999,6742,2.91511351030389,0.0131089718387383,6746,0.0131007308119759,0.00533966182141798,0.00533649570115624,1000,2.04076489771717,0.199996164947582,0.0133320045797985,0.0133166164530836,1817,4929,0.25250099520345,0.25250099520345
"39",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,8,18.3939516129032,198,198,5,1000,6565,2.94561961961962,0.012929494963926,6565,0.012929494963926,0.00731150038080731,0.00731150038080731,1000,2.04021325209444,0.203332871841566,0.0128225590105572,0.0128225590105572,1830,4735,0.253785727155578,0.253785727155578
"40",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,9,18.3696612903226,208,208,5,999,6586,2.93913753432791,0.0127524659464537,6596,0.0127260156790138,0.00516246583662314,0.00515463917525773,1000,2.03729533050334,0.195019622929847,0.012765463561496,0.0127428650364218,1775,4821,0.251884142443697,0.251884142443697
"41",1,1,0.1,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,1,20.231314516129,234,1,2,1000,20563,3.90754954954955,0.157918340870772,20563,0.157918340870772,0.0831590721198269,0.0831590721198269,1000,2.16845790983806,0.424682365287398,0.156417034184719,0.156417034184719,20545,18,0.966185829480461,0.966185829480461
"42",1,1,0.1,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,10,20.2415483870968,235,1,2,1000,20799,3.66708708708709,0.157404965815591,20799,0.157404965815591,0.0844271359199961,0.0844271359199961,1000,2.17395067070532,0.433402357282265,0.157061473437219,0.157061473437219,20781,18,0.966694665959571,0.966694665959571
"43",1,1,0.1,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,2,20.2751048387097,235,1,2,1000,20885,3.49128128128128,0.156886576578182,20885,0.156886576578182,0.0917404836006703,0.0917404836006703,1000,2.17131912856117,0.426172805111397,0.156004674562836,0.156004674562836,20857,28,0.96662623219408,0.96662623219408
"44",1,1,0.1,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,3,20.2382096774194,234,1,2,1000,20829,3.66545945945946,0.158551213450663,20829,0.158551213450663,0.0823851361083105,0.0823851361083105,1000,2.16861107110279,0.424987596735323,0.157536990081018,0.157536990081018,20801,28,0.966925864907588,0.966925864907588
"45",1,1,0.1,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,4,20.208814516129,235,1,2,1000,20718,3.8563023023023,0.156430147044571,20718,0.156430147044571,0.0891012646008302,0.0891012646008302,1000,2.16985230234579,0.429703345801406,0.156366466410919,0.156366466410919,20702,16,0.967302779959868,0.967302779959868
